subject,roi,metric,mean,median,std,n
100307,WM,FA,0.573569118976593,0.5485588908195496,0.12886667251586914,21894
100307,WM,MD,0.0005216540303081274,0.0005496892845258117,0.00015515163249801844,21894
100307,WM,MK,1.051651954650879,1.0087698698043823,0.4497973620891571,21894
100307,WM,alpha_persistence,2.21512770652771,2.2486844062805176,0.2910254895687103,21894
100307,GM,FA,0.17751634120941162,0.16390113532543182,0.08923347294330597,67042
100307,GM,MD,0.0006875999388284981,0.000665537896566093,0.0002373625320615247,67042
100307,GM,MK,0.7137255072593689,0.6678758859634399,0.3491419553756714,67042
100307,GM,alpha_persistence,1.8460294008255005,1.8586068153381348,0.2565063536167145,67042
100307,CSF,FA,0.06604838371276855,0.06284292042255402,0.026110179722309113,2918
100307,CSF,MD,0.0015525975031778216,0.0015375642105937004,0.00029835314489901066,2918
100307,CSF,MK,0.4480382204055786,0.43057143688201904,0.0686776340007782,2918
100307,CSF,alpha_persistence,1.7377146482467651,1.7220654487609863,0.1589805632829666,2918
100307,CC,FA,0.7662347555160522,0.7665753364562988,0.09848778694868088,842
100307,CC,MD,0.00048600698937661946,0.0005251526599749923,0.00017841480439528823,842
100307,CC,MK,1.0863778591156006,1.1133533716201782,0.5378333330154419,842
100307,CC,alpha_persistence,2.3467156887054443,2.3982982635498047,0.42233365774154663,842
100408,WM,FA,0.5645446181297302,0.5390818119049072,0.1241031214594841,25013
100408,WM,MD,0.0004808384401258081,0.0005036738584749401,0.00013335827679838985,25013
100408,WM,MK,1.0943845510482788,1.0748770236968994,0.4290093779563904,25013
100408,WM,alpha_persistence,2.168414354324341,2.1915178298950195,0.23591217398643494,25013
100408,GM,FA,0.17008426785469055,0.1516946703195572,0.09218961000442505,78887
100408,GM,MD,0.0006860633729957044,0.0006390228518284857,0.0002649028319865465,78887
100408,GM,MK,0.7410966157913208,0.696463406085968,0.3510998785495758,78887
100408,GM,alpha_persistence,1.8609747886657715,1.852423906326294,0.1933308243751526,78887
100408,CSF,FA,0.06318988651037216,0.06028003990650177,0.02512432262301445,3398
100408,CSF,MD,0.001618717797100544,0.0016437586164101958,0.0003002959711011499,3398
100408,CSF,MK,0.43429964780807495,0.4128180742263794,0.06837911903858185,3398
100408,CSF,alpha_persistence,1.7221903800964355,1.7127232551574707,0.1247536912560463,3398
