roi,metric,n_subjects,ICC_3_1,within_subject_CoV,pearson_r,mean_v1,mean_v2,BA_mean_diff,BA_loa_lower,BA_loa_upper
WM,FA,44,0.8730141463882228,0.00530361152542587,0.8720946732140008,0.5723939443176443,0.5720682713118467,0.0003256730057976463,-0.008159339215372602,0.008810685226967893
WM,MD,44,0.6140355112620804,0.016741186039091197,0.6435242905172058,0.0004852984215672636,0.0004891676600726152,-3.869238505351611e-06,-2.5415349049778965e-05,1.7676872039075744e-05
WM,MK,44,0.6276297295855066,0.011191383224080599,0.6757367960039785,1.0863891514864834,1.0797926187515259,0.006596532734957608,-0.024773183155672594,0.03796624862558781
WM,alpha_persistence,44,0.10514945850825984,0.025885274441027558,0.15633078536750722,2.15113319050182,2.177674266425046,-0.026541075923226097,-0.17455745252931623,0.12147530068286402
GM,FA,44,0.8163904062194685,0.009231926472569799,0.8347536869331783,0.17387660355730492,0.17445610666816885,-0.0005795031108639457,-0.004939012048471557,0.003780005826743665
GM,MD,44,0.7632395135707282,0.015891250324872954,0.8200426436885351,0.0006699306607267565,0.0006779376549688591,-8.006994242102586e-06,-3.349643669177847e-05,1.7482448207573296e-05
GM,MK,44,0.6121926861478475,0.018964783125812443,0.6621542717539802,0.7361363429914821,0.7280007343400609,0.008135608651421287,-0.027293371313055564,0.04356458861589814
GM,alpha_persistence,44,-0.08468628900580173,0.03469013914014641,-0.06772094307869685,1.8304136449640447,1.8524183387106115,-0.022004693746566772,-0.19572054565513491,0.15171115816200137
CSF,FA,44,0.41203610137164853,0.06864107150844305,0.4516431189832659,0.06781547694382342,0.07002535242248666,-0.0022098754786632276,-0.014729997317151909,0.010310246359825454
CSF,MD,44,0.7306178699366054,0.044452644703046204,0.7672193303422292,0.0015027531507340345,0.0015364537512968209,-3.370060056278651e-05,-0.00021092842763288617,0.00014352722650731313
CSF,MK,44,0.8600582577591483,0.020344676252809377,0.8908994420825774,0.44723965430801566,0.44418691166422586,0.0030527426437898116,-0.021641847911039697,0.027747333198619318
CSF,alpha_persistence,44,0.009020543697788493,0.039860407551105655,0.027221532648616084,1.7209245752204547,1.7441905384713954,-0.023265963250940495,-0.2113302674263194,0.16479834092443843
CC,FA,44,0.8412774017071876,0.0056968869791388325,0.8449962667670738,0.7704547630114988,0.7693469741127708,0.0011077888987281106,-0.010992522615251538,0.01320810041270776
CC,MD,44,0.6841641651484098,0.02940786923612809,0.7143428878947248,0.00044014612847769803,0.00044680048978824,-6.654361310541969e-06,-4.075878265350206e-05,2.7450060032418116e-05
CC,MK,44,0.44303695571390106,0.03125561183433674,0.4367294139285301,1.0695260031656786,1.0676984516057102,0.0018275515599684281,-0.09175308976990462,0.09540819288984148
CC,alpha_persistence,44,0.20866583670179087,0.02922465502708373,0.23223642714547732,2.2540180791508067,2.2781812006776985,-0.024163121526891537,-0.2035681309444399,0.15524188789065682
